rowid,wordplay,indicator,clue_rowids
11531,homophone,in conversation,"[109451](/data/clues/109451), [187179](/data/clues/187179), [310299](/data/clues/310299), [312575](/data/clues/312575), [313058](/data/clues/313058), [361485](/data/clues/361485), [380324](/data/clues/380324), [380360](/data/clues/380360), [384480](/data/clues/384480), [387302](/data/clues/387302), [397794](/data/clues/397794), [404750](/data/clues/404750), [406945](/data/clues/406945), [426602](/data/clues/426602), [437117](/data/clues/437117), [447183](/data/clues/447183), [583745](/data/clues/583745), [586876](/data/clues/586876), [587932](/data/clues/587932), [588236](/data/clues/588236), [591219](/data/clues/591219), [592114](/data/clues/592114), [610052](/data/clues/610052), [635790](/data/clues/635790), [665572](/data/clues/665572), [666804](/data/clues/666804), [667630](/data/clues/667630)"
11532,homophone,in discussion,"[302928](/data/clues/302928), [455226](/data/clues/455226)"
11533,homophone,in discussions,[489901](/data/clues/489901)
11534,homophone,in hearing,"[146712](/data/clues/146712), [157382](/data/clues/157382), [299627](/data/clues/299627), [341400](/data/clues/341400), [342238](/data/clues/342238), [343343](/data/clues/343343), [399115](/data/clues/399115), [432412](/data/clues/432412), [443253](/data/clues/443253), [444857](/data/clues/444857), [448133](/data/clues/448133), [448882](/data/clues/448882), [466944](/data/clues/466944), [477792](/data/clues/477792), [493782](/data/clues/493782), [585039](/data/clues/585039), [586458](/data/clues/586458), [588827](/data/clues/588827), [624327](/data/clues/624327), [660778](/data/clues/660778)"
11535,homophone,in my ear,[280167](/data/clues/280167)
11536,homophone,in need of articulation,[419819](/data/clues/419819)
11537,homophone,in oral exam,[37643](/data/clues/37643)
11538,homophone,in proclamation,[629219](/data/clues/629219)
11539,homophone,in pronouncing,[336654](/data/clues/336654)
11540,homophone,in radio interview,[432967](/data/clues/432967)
11541,homophone,in recital,"[157582](/data/clues/157582), [400107](/data/clues/400107), [402509](/data/clues/402509), [648996](/data/clues/648996), [664610](/data/clues/664610)"
11542,homophone,in report,"[234699](/data/clues/234699), [239294](/data/clues/239294), [241359](/data/clues/241359), [313114](/data/clues/313114), [334557](/data/clues/334557), [337614](/data/clues/337614), [342355](/data/clues/342355), [361230](/data/clues/361230), [364306](/data/clues/364306), [365544](/data/clues/365544), [411330](/data/clues/411330), [615455](/data/clues/615455)"
11543,homophone,in report of,[382033](/data/clues/382033)
11544,homophone,in song,[497909](/data/clues/497909)
11545,homophone,in sound,"[192245](/data/clues/192245), [229692](/data/clues/229692), [342782](/data/clues/342782), [363918](/data/clues/363918), [590276](/data/clues/590276)"
11546,homophone,in sound only,[382670](/data/clues/382670)
11547,homophone,in soundcheck,[412048](/data/clues/412048)
11548,homophone,in speaking,[349139](/data/clues/349139)
11549,homophone,in speech,"[114815](/data/clues/114815), [116830](/data/clues/116830), [134158](/data/clues/134158), [146516](/data/clues/146516), [240309](/data/clues/240309), [308469](/data/clues/308469), [316116](/data/clues/316116), [364249](/data/clues/364249), [371328](/data/clues/371328), [375015](/data/clues/375015), [381867](/data/clues/381867), [387673](/data/clues/387673), [393974](/data/clues/393974), [396716](/data/clues/396716), [401752](/data/clues/401752), [402411](/data/clues/402411), [406434](/data/clues/406434), [410650](/data/clues/410650), [430668](/data/clues/430668), [431506](/data/clues/431506), [442418](/data/clues/442418), [464340](/data/clues/464340), [465921](/data/clues/465921), [470022](/data/clues/470022), [473517](/data/clues/473517), [481418](/data/clues/481418), [483782](/data/clues/483782), [484774](/data/clues/484774), [487571](/data/clues/487571), [494064](/data/clues/494064), [497270](/data/clues/497270), [582999](/data/clues/582999), [583347](/data/clues/583347), [584558](/data/clues/584558), [584721](/data/clues/584721), [584767](/data/clues/584767), [584888](/data/clues/584888), [586115](/data/clues/586115), [586725](/data/clues/586725), [587337](/data/clues/587337), [587970](/data/clues/587970), [589759](/data/clues/589759), [590072](/data/clues/590072), [591584](/data/clues/591584), [601027](/data/clues/601027), [602818](/data/clues/602818), [622434](/data/clues/622434), [636580](/data/clues/636580), [643396](/data/clues/643396), [662392](/data/clues/662392), [664524](/data/clues/664524)"
11550,homophone,in talk,[292140](/data/clues/292140)
11551,homophone,in talks,[614666](/data/clues/614666)
11552,homophone,in the audience,"[294796](/data/clues/294796), [374036](/data/clues/374036), [475290](/data/clues/475290), [482038](/data/clues/482038), [482378](/data/clues/482378), [583092](/data/clues/583092), [583714](/data/clues/583714), [584073](/data/clues/584073), [584745](/data/clues/584745), [648696](/data/clues/648696)"
11553,homophone,in the auditorium,"[314199](/data/clues/314199), [345202](/data/clues/345202), [348329](/data/clues/348329), [361144](/data/clues/361144), [394914](/data/clues/394914), [396351](/data/clues/396351), [404885](/data/clues/404885), [432701](/data/clues/432701), [434057](/data/clues/434057), [440863](/data/clues/440863), [444703](/data/clues/444703), [448313](/data/clues/448313), [451220](/data/clues/451220), [461572](/data/clues/461572), [483896](/data/clues/483896), [497686](/data/clues/497686), [596749](/data/clues/596749), [639639](/data/clues/639639)"
11554,homophone,in the ear,"[390621](/data/clues/390621), [583020](/data/clues/583020), [587500](/data/clues/587500), [588762](/data/clues/588762), [589633](/data/clues/589633), [590138](/data/clues/590138)"
11555,homophone,in the ears,[347148](/data/clues/347148)
11556,homophone,in the mouth,"[430050](/data/clues/430050), [585706](/data/clues/585706), [592588](/data/clues/592588)"
11557,homophone,in the news,"[315425](/data/clues/315425), [419403](/data/clues/419403)"
11558,homophone,in the sound,"[583774](/data/clues/583774), [584983](/data/clues/584983), [585337](/data/clues/585337), [585374](/data/clues/585374), [585744](/data/clues/585744), [585944](/data/clues/585944), [587097](/data/clues/587097), [587555](/data/clues/587555), [589990](/data/clues/589990), [590121](/data/clues/590121), [590527](/data/clues/590527), [591192](/data/clues/591192), [591685](/data/clues/591685), [591859](/data/clues/591859), [592509](/data/clues/592509), [609091](/data/clues/609091)"
11559,homophone,in vocal performance,[588754](/data/clues/588754)
11560,homophone,in voice,"[321669](/data/clues/321669), [448761](/data/clues/448761)"
11561,homophone,in your ear,"[241193](/data/clues/241193), [590717](/data/clues/590717)"
11562,homophone,informed,[399406](/data/clues/399406)
11563,homophone,is announced,"[252651](/data/clues/252651), [394290](/data/clues/394290)"
11564,homophone,is audible,"[465304](/data/clues/465304), [497457](/data/clues/497457)"
11565,homophone,is being mentioned,[433933](/data/clues/433933)
11566,homophone,is discussed,[304425](/data/clues/304425)
11567,homophone,is given a hearing,[596894](/data/clues/596894)
11568,homophone,is heard,"[149616](/data/clues/149616), [434834](/data/clues/434834), [602713](/data/clues/602713), [667357](/data/clues/667357)"
11569,homophone,is listened to,[385611](/data/clues/385611)
11570,homophone,is reported,[326523](/data/clues/326523)
11571,homophone,is rumoured,[474327](/data/clues/474327)
11572,homophone,is said,"[381198](/data/clues/381198), [400113](/data/clues/400113), [426549](/data/clues/426549), [453003](/data/clues/453003), [599369](/data/clues/599369)"
11573,homophone,is sounded,[589304](/data/clues/589304)
11574,homophone,is spoken,"[210960](/data/clues/210960), [446789](/data/clues/446789)"
11575,homophone,is suggested,"[288967](/data/clues/288967), [457219](/data/clues/457219)"
11576,homophone,is this a misspelling,[413944](/data/clues/413944)
11577,homophone,is told,"[386103](/data/clues/386103), [489191](/data/clues/489191)"
11578,homophone,it has been said,[462660](/data/clues/462660)
11579,homophone,it has to be said,[460049](/data/clues/460049)
11580,homophone,it is said,"[464886](/data/clues/464886), [637628](/data/clues/637628)"
11581,homophone,it must be said,[452235](/data/clues/452235)
11582,homophone,it says,[478793](/data/clues/478793)
11583,homophone,it sounds,[497806](/data/clues/497806)
11584,homophone,lectured,[172220](/data/clues/172220)
11585,homophone,listen,"[405566](/data/clues/405566), [488049](/data/clues/488049)"
11586,homophone,listen to,"[295930](/data/clues/295930), [411985](/data/clues/411985), [456763](/data/clues/456763)"
11587,homophone,listened,[474729](/data/clues/474729)
11588,homophone,listened to,"[19304](/data/clues/19304), [313070](/data/clues/313070), [322393](/data/clues/322393), [390473](/data/clues/390473), [405509](/data/clues/405509), [468004](/data/clues/468004), [583048](/data/clues/583048), [583400](/data/clues/583400), [584735](/data/clues/584735), [585481](/data/clues/585481), [587460](/data/clues/587460), [588546](/data/clues/588546), [589964](/data/clues/589964), [592279](/data/clues/592279), [661087](/data/clues/661087)"
11589,homophone,listening,"[305887](/data/clues/305887), [343093](/data/clues/343093), [416718](/data/clues/416718), [473328](/data/clues/473328), [583333](/data/clues/583333), [585946](/data/clues/585946)"
11590,homophone,listening to,[596984](/data/clues/596984)
11591,homophone,loud,[443494](/data/clues/443494)
11592,homophone,loudly,"[167480](/data/clues/167480), [370820](/data/clues/370820), [403618](/data/clues/403618), [665605](/data/clues/665605), [667765](/data/clues/667765)"
11593,homophone,loudly demanding,[135848](/data/clues/135848)
11594,homophone,made audible,[587027](/data/clues/587027)
11595,homophone,made out,"[334810](/data/clues/334810), [405671](/data/clues/405671), [406083](/data/clues/406083), [664781](/data/clues/664781)"
11596,homophone,makes itself heard,[460507](/data/clues/460507)
11597,homophone,makes sound of,"[395961](/data/clues/395961), [494685](/data/clues/494685)"
11598,homophone,making noises,[277505](/data/clues/277505)
11599,homophone,many heard,[308073](/data/clues/308073)
11600,homophone,may be announced,[458493](/data/clues/458493)
11601,homophone,may be heard,"[89257](/data/clues/89257), [329911](/data/clues/329911), [425444](/data/clues/425444), [448546](/data/clues/448546), [485679](/data/clues/485679)"
11602,homophone,may be said,[363575](/data/clues/363575)
11603,homophone,mention,"[341048](/data/clues/341048), [356653](/data/clues/356653), [484316](/data/clues/484316)"
11604,homophone,mention of,"[426027](/data/clues/426027), [461661](/data/clues/461661), [492196](/data/clues/492196)"
11605,homophone,mentioned,"[19288](/data/clues/19288), [104784](/data/clues/104784), [114677](/data/clues/114677), [147499](/data/clues/147499), [205565](/data/clues/205565), [240150](/data/clues/240150), [240156](/data/clues/240156), [243882](/data/clues/243882), [244031](/data/clues/244031), [247140](/data/clues/247140), [254033](/data/clues/254033), [295509](/data/clues/295509), [322875](/data/clues/322875), [329866](/data/clues/329866), [329943](/data/clues/329943), [333401](/data/clues/333401), [333539](/data/clues/333539), [344844](/data/clues/344844), [354879](/data/clues/354879), [378147](/data/clues/378147), [390349](/data/clues/390349), [401797](/data/clues/401797), [403861](/data/clues/403861), [413751](/data/clues/413751), [418276](/data/clues/418276), [428650](/data/clues/428650), [431333](/data/clues/431333), [434404](/data/clues/434404), [434891](/data/clues/434891), [438596](/data/clues/438596), [451413](/data/clues/451413), [477318](/data/clues/477318), [477625](/data/clues/477625), [481169](/data/clues/481169), [481945](/data/clues/481945), [484742](/data/clues/484742), [497591](/data/clues/497591), [567974](/data/clues/567974), [606896](/data/clues/606896), [660787](/data/clues/660787), [667591](/data/clues/667591)"
11606,homophone,mentioned aloud,[583885](/data/clues/583885)
11607,homophone,mentioned on the radio,[370376](/data/clues/370376)
11608,homophone,mentioned out loud,[589166](/data/clues/589166)
11609,homophone,mentioning,[202638](/data/clues/202638)
11610,homophone,might you say,"[187176](/data/clues/187176), [325980](/data/clues/325980), [661005](/data/clues/661005)"
11611,homophone,misheard,[407156](/data/clues/407156)
11612,homophone,moaning,[232329](/data/clues/232329)
11613,homophone,murmuring,[411949](/data/clues/411949)
11614,homophone,must be heard,[432463](/data/clues/432463)
11615,homophone,named by some,[645757](/data/clues/645757)
11616,homophone,narrated,[627707](/data/clues/627707)
11617,homophone,needing to be heard,[401342](/data/clues/401342)
11618,homophone,news of,[381295](/data/clues/381295)
11619,homophone,noise,[470984](/data/clues/470984)
11620,homophone,noise coming from,[643385](/data/clues/643385)
11621,homophone,noisily,"[69985](/data/clues/69985), [122704](/data/clues/122704), [190161](/data/clues/190161), [202621](/data/clues/202621), [258231](/data/clues/258231), [287237](/data/clues/287237), [294553](/data/clues/294553), [307357](/data/clues/307357), [348406](/data/clues/348406), [361217](/data/clues/361217), [418966](/data/clues/418966), [431319](/data/clues/431319), [441174](/data/clues/441174), [462623](/data/clues/462623), [490898](/data/clues/490898)"
11622,homophone,noisy,"[398389](/data/clues/398389), [435772](/data/clues/435772), [440015](/data/clues/440015), [443398](/data/clues/443398), [445264](/data/clues/445264), [479996](/data/clues/479996), [485800](/data/clues/485800)"
11623,homophone,nominated,[485008](/data/clues/485008)
11624,homophone,of broadcasters,[438888](/data/clues/438888)
11625,homophone,of conversation,[595172](/data/clues/595172)
11626,homophone,of speaking,[355429](/data/clues/355429)
11627,homophone,of speech,[8819](/data/clues/8819)
11628,homophone,of the audience,[217588](/data/clues/217588)
11629,homophone,off the record,[596644](/data/clues/596644)
11630,homophone,offered out loud,[427302](/data/clues/427302)
11631,homophone,on a podcast,[661380](/data/clues/661380)
11632,homophone,on air,"[298615](/data/clues/298615), [334708](/data/clues/334708), [362797](/data/clues/362797), [405425](/data/clues/405425), [435517](/data/clues/435517), [629375](/data/clues/629375), [643586](/data/clues/643586)"
11633,homophone,on hearsay evidence,[471579](/data/clues/471579)
11634,homophone,on phone,[664755](/data/clues/664755)
11635,homophone,on radio,"[30715](/data/clues/30715), [64658](/data/clues/64658), [303166](/data/clues/303166), [303917](/data/clues/303917), [333603](/data/clues/333603), [347320](/data/clues/347320), [350542](/data/clues/350542), [354328](/data/clues/354328), [381594](/data/clues/381594), [392888](/data/clues/392888), [397163](/data/clues/397163), [414694](/data/clues/414694), [425595](/data/clues/425595), [425756](/data/clues/425756), [450276](/data/clues/450276), [466394](/data/clues/466394)"
11636,homophone,on record,"[430041](/data/clues/430041), [486224](/data/clues/486224)"
11637,homophone,on tape,[342508](/data/clues/342508)
11638,homophone,on telephone,[301133](/data/clues/301133)
11639,homophone,on the air,"[293928](/data/clues/293928), [372754](/data/clues/372754), [374521](/data/clues/374521), [418378](/data/clues/418378)"
11640,homophone,on the ear,"[247085](/data/clues/247085), [433868](/data/clues/433868)"
11641,homophone,on the phone,"[10053](/data/clues/10053), [95735](/data/clues/95735), [134974](/data/clues/134974), [186597](/data/clues/186597), [288481](/data/clues/288481), [293267](/data/clues/293267), [295726](/data/clues/295726), [315042](/data/clues/315042), [319627](/data/clues/319627), [319730](/data/clues/319730), [364655](/data/clues/364655), [394513](/data/clues/394513), [401246](/data/clues/401246), [425225](/data/clues/425225), [427953](/data/clues/427953), [447406](/data/clues/447406), [483720](/data/clues/483720), [496262](/data/clues/496262), [643327](/data/clues/643327), [645593](/data/clues/645593), [664585](/data/clues/664585)"
11642,homophone,on the radio,"[27707](/data/clues/27707), [93987](/data/clues/93987), [134823](/data/clues/134823), [150666](/data/clues/150666), [244198](/data/clues/244198), [272423](/data/clues/272423), [294177](/data/clues/294177), [294727](/data/clues/294727), [295286](/data/clues/295286), [297232](/data/clues/297232), [297606](/data/clues/297606), [299593](/data/clues/299593), [299685](/data/clues/299685), [299900](/data/clues/299900), [303077](/data/clues/303077), [303281](/data/clues/303281), [308428](/data/clues/308428), [308711](/data/clues/308711), [308804](/data/clues/308804), [309367](/data/clues/309367), [313092](/data/clues/313092), [313561](/data/clues/313561), [315643](/data/clues/315643), [315873](/data/clues/315873), [317108](/data/clues/317108), [320218](/data/clues/320218), [321856](/data/clues/321856), [322701](/data/clues/322701), [324148](/data/clues/324148), [324380](/data/clues/324380), [324685](/data/clues/324685), [328732](/data/clues/328732), [330589](/data/clues/330589), [342064](/data/clues/342064), [346307](/data/clues/346307), [347306](/data/clues/347306), [351856](/data/clues/351856), [352506](/data/clues/352506), [353634](/data/clues/353634), [360556](/data/clues/360556), [364256](/data/clues/364256), [365611](/data/clues/365611), [373785](/data/clues/373785), [376882](/data/clues/376882), [385428](/data/clues/385428), [389904](/data/clues/389904), [391338](/data/clues/391338), [395032](/data/clues/395032), [397425](/data/clues/397425), [403166](/data/clues/403166), [403475](/data/clues/403475), [403528](/data/clues/403528), [404156](/data/clues/404156), [406976](/data/clues/406976), [407054](/data/clues/407054), [407744](/data/clues/407744), [408871](/data/clues/408871), [408932](/data/clues/408932), [409396](/data/clues/409396), [409993](/data/clues/409993), [410385](/data/clues/410385), [410829](/data/clues/410829), [411822](/data/clues/411822), [413592](/data/clues/413592), [431888](/data/clues/431888), [437615](/data/clues/437615), [441796](/data/clues/441796), [448406](/data/clues/448406), [451966](/data/clues/451966), [454157](/data/clues/454157), [457407](/data/clues/457407), [470805](/data/clues/470805), [485263](/data/clues/485263), [485867](/data/clues/485867), [486829](/data/clues/486829), [489192](/data/clues/489192), [493388](/data/clues/493388), [498050](/data/clues/498050), [499015](/data/clues/499015), [594311](/data/clues/594311), [599158](/data/clues/599158), [611623](/data/clues/611623), [621704](/data/clues/621704), [629088](/data/clues/629088), [632928](/data/clues/632928), [645935](/data/clues/645935), [646394](/data/clues/646394), [646681](/data/clues/646681), [647849](/data/clues/647849), [648407](/data/clues/648407), [648616](/data/clues/648616), [648936](/data/clues/648936), [660212](/data/clues/660212), [660306](/data/clues/660306), [660935](/data/clues/660935), [661983](/data/clues/661983), [662586](/data/clues/662586), [664553](/data/clues/664553), [664956](/data/clues/664956), [665389](/data/clues/665389), [665595](/data/clues/665595), [666953](/data/clues/666953), [667345](/data/clues/667345)"
11643,homophone,on the radio sounds like,[470617](/data/clues/470617)
11644,homophone,on the telephone,[410110](/data/clues/410110)
11645,homophone,on the tongue,"[312726](/data/clues/312726), [585918](/data/clues/585918), [588128](/data/clues/588128), [588350](/data/clues/588350), [588701](/data/clues/588701), [590960](/data/clues/590960), [592725](/data/clues/592725)"
11646,homophone,on traffic news,[341141](/data/clues/341141)
11647,homophone,once spoken,[420687](/data/clues/420687)
11648,homophone,one hears,"[320420](/data/clues/320420), [327122](/data/clues/327122), [374446](/data/clues/374446), [397451](/data/clues/397451), [410468](/data/clues/410468), [414953](/data/clues/414953), [427642](/data/clues/427642), [444109](/data/clues/444109), [665916](/data/clues/665916)"
11649,homophone,one might pick up,[413829](/data/clues/413829)
11650,homophone,one might say,[276078](/data/clues/276078)
11651,homophone,oral,"[439593](/data/clues/439593), [462147](/data/clues/462147), [584754](/data/clues/584754), [587070](/data/clues/587070), [588723](/data/clues/588723), [591127](/data/clues/591127), [592595](/data/clues/592595)"
11652,homophone,orally,"[220195](/data/clues/220195), [321896](/data/clues/321896), [322522](/data/clues/322522), [406530](/data/clues/406530), [406838](/data/clues/406838), [584316](/data/clues/584316), [589205](/data/clues/589205)"
11653,homophone,orally transmitted,[275515](/data/clues/275515)
11654,homophone,ordered,"[364975](/data/clues/364975), [365181](/data/clues/365181), [428298](/data/clues/428298)"
11655,homophone,out loud,"[303779](/data/clues/303779), [321076](/data/clues/321076), [403711](/data/clues/403711), [410547](/data/clues/410547), [411881](/data/clues/411881), [429002](/data/clues/429002), [429549](/data/clues/429549), [451918](/data/clues/451918), [496115](/data/clues/496115), [583634](/data/clues/583634), [586168](/data/clues/586168), [591049](/data/clues/591049), [663101](/data/clues/663101)"
11656,homophone,outspoken,"[113998](/data/clues/113998), [204652](/data/clues/204652), [305903](/data/clues/305903), [335125](/data/clues/335125), [370852](/data/clues/370852), [380694](/data/clues/380694), [380801](/data/clues/380801), [388927](/data/clues/388927), [411634](/data/clues/411634), [422527](/data/clues/422527), [427906](/data/clues/427906), [430523](/data/clues/430523), [450209](/data/clues/450209), [485205](/data/clues/485205), [488816](/data/clues/488816), [495492](/data/clues/495492), [583772](/data/clues/583772), [585145](/data/clues/585145), [585215](/data/clues/585215), [585625](/data/clues/585625), [585656](/data/clues/585656), [587314](/data/clues/587314), [589023](/data/clues/589023), [590369](/data/clues/590369), [590456](/data/clues/590456), [607502](/data/clues/607502), [646259](/data/clues/646259), [666012](/data/clues/666012)"
11657,homophone,outspokenly,[590231](/data/clues/590231)
11658,homophone,over the airwaves,"[306334](/data/clues/306334), [434400](/data/clues/434400)"
11659,homophone,over the phone,"[313953](/data/clues/313953), [431213](/data/clues/431213), [454097](/data/clues/454097), [660279](/data/clues/660279)"
11660,homophone,overheard,"[55839](/data/clues/55839), [74723](/data/clues/74723), [125483](/data/clues/125483), [293411](/data/clues/293411), [302885](/data/clues/302885), [315667](/data/clues/315667), [326585](/data/clues/326585), [355271](/data/clues/355271), [379491](/data/clues/379491), [390439](/data/clues/390439), [406295](/data/clues/406295), [406296](/data/clues/406296), [425887](/data/clues/425887), [437786](/data/clues/437786), [486419](/data/clues/486419), [582980](/data/clues/582980), [584062](/data/clues/584062), [584931](/data/clues/584931), [584998](/data/clues/584998), [585062](/data/clues/585062), [586689](/data/clues/586689), [588321](/data/clues/588321), [588619](/data/clues/588619), [589070](/data/clues/589070), [592126](/data/clues/592126), [592296](/data/clues/592296), [599016](/data/clues/599016), [643766](/data/clues/643766)"
11661,homophone,overhearing,[458124](/data/clues/458124)
11662,homophone,people say,[302628](/data/clues/302628)
11663,homophone,pick up,"[124141](/data/clues/124141), [397101](/data/clues/397101), [403994](/data/clues/403994), [430642](/data/clues/430642), [643898](/data/clues/643898)"
11664,homophone,picked up,"[50933](/data/clues/50933), [55685](/data/clues/55685), [56862](/data/clues/56862), [91211](/data/clues/91211), [91773](/data/clues/91773), [92762](/data/clues/92762), [104105](/data/clues/104105), [106493](/data/clues/106493), [116426](/data/clues/116426), [120007](/data/clues/120007), [133877](/data/clues/133877), [135436](/data/clues/135436), [140073](/data/clues/140073), [153100](/data/clues/153100), [160396](/data/clues/160396), [186213](/data/clues/186213), [196515](/data/clues/196515), [199212](/data/clues/199212), [241372](/data/clues/241372), [266345](/data/clues/266345), [290596](/data/clues/290596), [295322](/data/clues/295322), [300742](/data/clues/300742), [301560](/data/clues/301560), [304321](/data/clues/304321), [304861](/data/clues/304861), [305423](/data/clues/305423), [305586](/data/clues/305586), [307458](/data/clues/307458), [315108](/data/clues/315108), [322099](/data/clues/322099), [324032](/data/clues/324032), [326477](/data/clues/326477), [341870](/data/clues/341870), [375331](/data/clues/375331), [384525](/data/clues/384525), [387506](/data/clues/387506), [394329](/data/clues/394329), [399541](/data/clues/399541), [399626](/data/clues/399626), [406005](/data/clues/406005), [406199](/data/clues/406199), [406220](/data/clues/406220), [406470](/data/clues/406470), [407036](/data/clues/407036), [407058](/data/clues/407058), [407827](/data/clues/407827), [407853](/data/clues/407853), [408985](/data/clues/408985), [409955](/data/clues/409955), [411287](/data/clues/411287), [415080](/data/clues/415080), [418568](/data/clues/418568), [432145](/data/clues/432145), [438054](/data/clues/438054), [438469](/data/clues/438469), [443108](/data/clues/443108), [443791](/data/clues/443791), [470625](/data/clues/470625), [492201](/data/clues/492201), [499170](/data/clues/499170), [595383](/data/clues/595383), [601034](/data/clues/601034), [603939](/data/clues/603939), [605706](/data/clues/605706), [607062](/data/clues/607062), [608736](/data/clues/608736), [610036](/data/clues/610036), [616692](/data/clues/616692), [624133](/data/clues/624133), [626830](/data/clues/626830), [635481](/data/clues/635481), [635800](/data/clues/635800), [637325](/data/clues/637325), [641825](/data/clues/641825), [645152](/data/clues/645152), [645219](/data/clues/645219), [648140](/data/clues/648140), [658497](/data/clues/658497), [660566](/data/clues/660566), [661232](/data/clues/661232), [664071](/data/clues/664071)"
11665,homophone,picked up by the ears,"[10071](/data/clues/10071), [73695](/data/clues/73695)"
11666,homophone,picked up from,[343980](/data/clues/343980)
11667,homophone,picked up on the mike,[261509](/data/clues/261509)
11668,homophone,picking up,"[409016](/data/clues/409016), [429673](/data/clues/429673)"
11669,homophone,picks,[411017](/data/clues/411017)
11670,homophone,posed,[305256](/data/clues/305256)
11671,homophone,poured out,[416301](/data/clues/416301)
11672,homophone,presented in radio feature,[418014](/data/clues/418014)
11673,homophone,proclaimed,"[375254](/data/clues/375254), [389880](/data/clues/389880), [663996](/data/clues/663996)"
11674,homophone,proclamation,[329773](/data/clues/329773)
11675,homophone,project,[612162](/data/clues/612162)
11676,homophone,pronounce as,[398976](/data/clues/398976)
11677,homophone,pronounced,"[167054](/data/clues/167054), [181566](/data/clues/181566), [192415](/data/clues/192415), [247120](/data/clues/247120), [301076](/data/clues/301076), [302867](/data/clues/302867), [315570](/data/clues/315570), [339131](/data/clues/339131), [341950](/data/clues/341950), [347167](/data/clues/347167), [357019](/data/clues/357019), [358016](/data/clues/358016), [361199](/data/clues/361199), [361810](/data/clues/361810), [370028](/data/clues/370028), [392556](/data/clues/392556), [399110](/data/clues/399110), [402348](/data/clues/402348), [403834](/data/clues/403834), [406583](/data/clues/406583), [407383](/data/clues/407383), [408418](/data/clues/408418), [411648](/data/clues/411648), [414709](/data/clues/414709), [420388](/data/clues/420388), [427143](/data/clues/427143), [437472](/data/clues/437472), [441099](/data/clues/441099), [441818](/data/clues/441818), [459974](/data/clues/459974), [463702](/data/clues/463702), [475694](/data/clues/475694), [478295](/data/clues/478295), [486641](/data/clues/486641), [487410](/data/clues/487410), [489288](/data/clues/489288), [489400](/data/clues/489400), [490578](/data/clues/490578), [498652](/data/clues/498652), [582803](/data/clues/582803), [582874](/data/clues/582874), [583599](/data/clues/583599), [584353](/data/clues/584353), [585244](/data/clues/585244), [585333](/data/clues/585333), [587478](/data/clues/587478), [587687](/data/clues/587687), [587849](/data/clues/587849), [588720](/data/clues/588720), [588778](/data/clues/588778), [591090](/data/clues/591090), [591170](/data/clues/591170), [591956](/data/clues/591956), [593514](/data/clues/593514), [613360](/data/clues/613360), [627126](/data/clues/627126), [639699](/data/clues/639699), [644968](/data/clues/644968)"
11678,homophone,pronounced for some,[381870](/data/clues/381870)
11679,homophone,pronouncedly,"[297912](/data/clues/297912), [333080](/data/clues/333080), [378248](/data/clues/378248), [442913](/data/clues/442913), [620121](/data/clues/620121)"
11680,homophone,pronouncement,"[377521](/data/clues/377521), [393899](/data/clues/393899), [453616](/data/clues/453616), [495197](/data/clues/495197)"
11681,homophone,pronouncing,[444642](/data/clues/444642)
11682,homophone,purportedly,[411066](/data/clues/411066)
11683,homophone,put into speech,[586879](/data/clues/586879)
11684,homophone,quotation of,[243855](/data/clues/243855)
11685,homophone,quoted,[348594](/data/clues/348594)
11686,homophone,rambling,[345186](/data/clues/345186)
11687,homophone,read aloud,"[22452](/data/clues/22452), [28062](/data/clues/28062), [45539](/data/clues/45539), [211737](/data/clues/211737), [315585](/data/clues/315585), [320149](/data/clues/320149), [365512](/data/clues/365512), [583153](/data/clues/583153), [585894](/data/clues/585894), [586469](/data/clues/586469), [623982](/data/clues/623982), [665182](/data/clues/665182)"
11688,homophone,read out,"[63783](/data/clues/63783), [134390](/data/clues/134390), [149215](/data/clues/149215), [288458](/data/clues/288458), [297436](/data/clues/297436), [301845](/data/clues/301845), [319512](/data/clues/319512), [323602](/data/clues/323602), [335002](/data/clues/335002), [378096](/data/clues/378096), [440751](/data/clues/440751), [475346](/data/clues/475346), [603901](/data/clues/603901), [645168](/data/clues/645168), [663164](/data/clues/663164)"
11689,homophone,read out loud,[364251](/data/clues/364251)
11690,homophone,received,"[322260](/data/clues/322260), [484335](/data/clues/484335), [492766](/data/clues/492766), [496653](/data/clues/496653), [661937](/data/clues/661937)"
11691,homophone,recitation of,[643212](/data/clues/643212)
11692,homophone,recite,[314444](/data/clues/314444)
11693,homophone,recited,"[70993](/data/clues/70993), [266009](/data/clues/266009), [285037](/data/clues/285037), [327621](/data/clues/327621), [349219](/data/clues/349219), [406044](/data/clues/406044), [492131](/data/clues/492131), [582639](/data/clues/582639), [585545](/data/clues/585545), [589025](/data/clues/589025), [589101](/data/clues/589101), [589215](/data/clues/589215), [589535](/data/clues/589535), [592231](/data/clues/592231), [592246](/data/clues/592246), [607842](/data/clues/607842), [630615](/data/clues/630615)"
11694,homophone,recited aloud,[583077](/data/clues/583077)
11695,homophone,reciting,"[243409](/data/clues/243409), [668008](/data/clues/668008)"
11696,homophone,recorded,"[416683](/data/clues/416683), [643143](/data/clues/643143)"
11697,homophone,recording,[484313](/data/clues/484313)
11698,homophone,recording of,[388352](/data/clues/388352)
11699,homophone,recounted,[463506](/data/clues/463506)
11700,homophone,regional broadcast,[444186](/data/clues/444186)
